@relation jobs_in_data

@attribute job_category {'Data Architecture and Modeling','Data Science and Research','Machine Learning and AI','Data Engineering','Data Analysis','Leadership and Management','BI and Visualization','Data Management and Strategy','Data Quality and Operations','Cloud and Database'}
@attribute experience_level {Senior,Mid-level,Executive,Entry-level}
@attribute work_setting {In-person,Remote,Hybrid}
@attribute company_size {M,L,S}
@attribute salary_in_usd numeric

@data
'Data Science and Research',Senior,In-person,M,130000
'Data Analysis',Entry-level,In-person,M,105000
'Data Engineering',Senior,In-person,M,99000
'Data Engineering',Senior,In-person,M,52500
'Machine Learning and AI',Senior,Remote,M,180514
'Machine Learning and AI',Senior,Remote,M,108308
'Machine Learning and AI',Senior,In-person,M,210000
'Machine Learning and AI',Senior,In-person,M,147000
'Data Engineering',Senior,In-person,M,290300
'Data Engineering',Senior,In-person,M,196685
'Machine Learning and AI',Senior,In-person,M,220000
'Machine Learning and AI',Senior,In-person,M,176000
'Machine Learning and AI',Mid-level,In-person,M,175000
'Machine Learning and AI',Mid-level,In-person,M,130000
'Data Architecture and Modeling',Senior,In-person,M,185000
'Data Architecture and Modeling',Senior,In-person,M,150000
'Data Engineering',Senior,In-person,M,145000
'Data Engineering',Senior,In-person,M,115000
'Machine Learning and AI',Entry-level,In-person,M,133000
'Machine Learning and AI',Entry-level,In-person,M,58300
'Leadership and Management',Senior,In-person,M,115000
'Leadership and Management',Senior,In-person,M,95000
'Data Engineering',Senior,In-person,M,230300
'Data Engineering',Senior,In-person,M,140000
'Data Science and Research',Senior,In-person,M,224800
'Data Science and Research',Senior,In-person,M,131100
'Data Science and Research',Senior,In-person,M,258000
'Data Science and Research',Senior,In-person,M,171000
'Data Engineering',Senior,In-person,M,196000
'Data Engineering',Senior,In-person,M,121000
'Data Engineering',Senior,In-person,M,195800
'Data Engineering',Senior,In-person,M,171500
'Data Architecture and Modeling',Mid-level,In-person,M,166000
'Data Architecture and Modeling',Mid-level,In-person,M,73100
'Data Science and Research',Mid-level,In-person,M,220000
'Data Science and Research',Mid-level,In-person,M,160000
'Data Science and Research',Entry-level,In-person,M,85000
'Data Science and Research',Entry-level,In-person,M,65000
'Machine Learning and AI',Mid-level,In-person,M,220000
'Machine Learning and AI',Mid-level,In-person,M,100000
'Data Science and Research',Senior,In-person,M,185000
'Data Science and Research',Senior,In-person,M,152000
'Machine Learning and AI',Mid-level,In-person,M,220000
'Machine Learning and AI',Mid-level,In-person,M,100000
'Machine Learning and AI',Mid-level,In-person,M,220000
'Machine Learning and AI',Mid-level,In-person,M,100000
'Machine Learning and AI',Mid-level,In-person,M,220000
'Machine Learning and AI',Mid-level,In-person,M,100000
'Data Science and Research',Mid-level,In-person,M,220000
'Data Science and Research',Mid-level,In-person,M,100000
'Data Science and Research',Senior,In-person,M,150200
'Data Science and Research',Senior,In-person,M,71000
'Data Engineering',Senior,In-person,M,167200
'Data Engineering',Senior,In-person,M,121000
'Data Engineering',Senior,In-person,M,133000
'Data Engineering',Senior,In-person,M,58400
'Data Science and Research',Mid-level,In-person,M,135000
'Data Science and Research',Mid-level,In-person,M,110000
'Data Science and Research',Senior,In-person,M,187415
'Data Science and Research',Senior,In-person,M,114080
'Data Science and Research',Senior,In-person,M,187415
'Data Science and Research',Senior,In-person,M,114080
'Data Engineering',Mid-level,In-person,M,166000
'Data Engineering',Mid-level,In-person,M,73100
'Data Science and Research',Senior,In-person,M,187415
'Data Science and Research',Senior,In-person,M,114080
'Data Analysis',Senior,Remote,M,165000
'Data Analysis',Senior,Remote,M,140000
'Leadership and Management',Mid-level,Remote,M,150000
'Data Analysis',Mid-level,In-person,M,167000
'Data Analysis',Mid-level,In-person,M,121000
'BI and Visualization',Mid-level,In-person,L,185000
'BI and Visualization',Mid-level,In-person,L,79600
'Data Science and Research',Senior,In-person,M,190200
'Data Science and Research',Senior,In-person,M,95100
'Data Analysis',Entry-level,In-person,M,133000
'Data Analysis',Entry-level,In-person,M,58400
'Data Engineering',Mid-level,Remote,M,90000
'Data Engineering',Mid-level,Remote,M,70000
'Data Science and Research',Mid-level,In-person,M,166000
'Data Science and Research',Mid-level,In-person,M,73100
